Date mutation,valeur_fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Surface Carrez du 1er lot,Nombre pieces principales,Surface terrain
04/01/2022,208000.0,64.0,RUE,0010,DE L ABBE BONPAIN,59700.0,MARCQ EN BAROEUL,59,378,"57,69",3.0,
04/01/2022,113000.0,1.0,RUE,0260,GUY MOCQUET,59113.0,SECLIN,59,560,"45,72",3.0,
03/01/2022,185000.0,22.0,RUE,8749,DE TREVISE,59000.0,LILLE,59,350,"62,83",3.0,
04/01/2022,120350.0,132.0,RUE,7554,ROGER SALENGRO,59260.0,LILLE,59,350,"43,64",2.0,
04/01/2022,149000.0,7.0,ALL,3430,DES COLOMBIERS,59650.0,VILLENEUVE-D'ASCQ,59,9,"59,02",2.0,
06/01/2022,154000.0,12.0,RUE,0250,DU MARECHAL DE RANTZAU,59193.0,ERQUINGHEM-LYS,59,202,"62,15",3.0,
06/01/2022,144080.0,30.0,RUE,0510,DU HUIT MAI 1945,59223.0,RONCQ,59,508,"51,48",2.0,
04/01/2022,180000.0,42.0,AV,1569,CHARLES ST VENANT,59800.0,LILLE,59,350,,2.0,
05/01/2022,216000.0,9.0,QUAI,1371,DE CHERBOURG,59200.0,TOURCOING,59,599,"93,23",3.0,
10/01/2022,300000.0,119.0,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,1.0,274.0
10/01/2022,300000.0,119.0,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,1.0,274.0
10/01/2022,300000.0,119.0,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,1.0,274.0
10/01/2022,300000.0,119.0,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,1.0,274.0
10/01/2022,300000.0,119.0,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,1.0,274.0
10/01/2022,300000.0,119.0,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,1.0,274.0
10/01/2022,300000.0,119.0,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,1.0,274.0
03/01/2022,285000.0,69.0,RUE,0470,D AUSTERLITZ,59200.0,TOURCOING,59,599,"118,25",3.0,
07/01/2022,338600.0,80.0,RUE,5031,DE JEMMAPES,59800.0,LILLE,59,350,"68,79",3.0,
06/01/2022,80000.0,12.0,RUE,5908,DU MARECHAL MORTIER,59800.0,LILLE,59,350,,2.0,
06/01/2022,367000.0,2.0,RUE,6568,DU PALAIS RIHOUR,59800.0,LILLE,59,350,,4.0,
06/01/2022,170000.0,28.0,RUE,1194,DU BUISSON,59800.0,LILLE,59,350,,4.0,
04/01/2022,115000.0,3.0,RUE,1780,PAUL POUCHAIN,59280.0,ARMENTIERES,59,17,"112,50",3.0,
06/01/2022,260000.0,54.0,RUE,9169,DU VIEUX MOULIN,59800.0,LILLE,59,350,,1.0,120.0
06/01/2022,260000.0,54.0,RUE,9169,DU VIEUX MOULIN,59800.0,LILLE,59,350,,1.0,120.0
06/01/2022,260000.0,54.0,RUE,9169,DU VIEUX MOULIN,59800.0,LILLE,59,350,,1.0,120.0
06/01/2022,260000.0,54.0,RUE,9169,DU VIEUX MOULIN,59800.0,LILLE,59,350,,1.0,120.0
06/01/2022,260000.0,54.0,RUE,9169,DU VIEUX MOULIN,59800.0,LILLE,59,350,,1.0,120.0
06/01/2022,260000.0,54.0,RUE,9169,DU VIEUX MOULIN,59800.0,LILLE,59,350,,1.0,120.0
07/01/2022,163600.0,135.0,RUE,0620,DE LILLE,59223.0,RONCQ,59,508,"71,10",3.0,
06/01/2022,160000.0,209.0,RUE,0376,D ARRAS,59000.0,LILLE,59,350,,2.0,
10/01/2022,228000.0,42.0,RUE,0750,DE WAMBRECHIES,59520.0,MARQUETTE-LEZ-LILLE,59,386,,3.0,
07/01/2022,89800.0,9.0,RUE,2321,DELEZENNE,59000.0,LILLE,59,350,"17,59",1.0,
03/01/2022,153140.0,29.0,RUE,4992,JEANNE D ARC,59000.0,LILLE,59,350,,2.0,
03/01/2022,75000.0,8.0,RES,A046,RESIDENCE DE LA POSTE,59120.0,LOOS,59,360,"28,85",1.0,
03/01/2022,461000.0,108.0,RUE,4722,JACQUEMARS GIELEE,59800.0,LILLE,59,350,,2.0,
03/01/2022,100000.0,66.0,RUE,7199,PRINCESSE,59800.0,LILLE,59,350,,3.0,
05/01/2022,72800.0,112.0,RUE,0670,DE DUNKERQUE,59280.0,ARMENTIERES,59,17,,1.0,
12/01/2022,280000.0,39.0,RUE,6394,NICOLAS LEBLANC,59000.0,LILLE,59,350,,2.0,
11/01/2022,119500.0,10.0,RUE,0397,DE RIO,59930.0,LA CHAPELLE D ARMENTIERES,59,143,"43,96",2.0,
12/01/2022,105000.0,96.0,RUE,5893,DU MARCHE,59000.0,LILLE,59,350,"20,17",2.0,
06/01/2022,195000.0,40.0,RUE,1380,LOUIS DELOS,59700.0,MARCQ EN BAROEUL,59,378,"58,00",2.0,
07/01/2022,115000.0,222.0,RUE,6350,NATIONALE,59800.0,LILLE,59,350,,1.0,
04/01/2022,355300.0,31.0,AV,7144,DU PRESIDENT KENNEDY,59800.0,LILLE,59,350,,4.0,
10/01/2022,338000.0,9.0,RUE,5778,DU MAGASIN,59800.0,LILLE,59,350,,3.0,
07/01/2022,472500.0,21.0,RUE,6394,NICOLAS LEBLANC,59000.0,LILLE,59,350,,4.0,
07/01/2022,173000.0,13.0,RUE,2222,DEGLAND,59000.0,LILLE,59,350,,1.0,
06/01/2022,69900.0,7.0,RUE,4433,DES PEIGNEURS,59200.0,TOURCOING,59,599,,2.0,
03/01/2022,165000.0,4.0,RUE,4289,GUSTAVE TESTELIN,59000.0,LILLE,59,350,"49,16",2.0,
11/01/2022,99000.0,35.0,RUE,0114,DE LA BELLE DRAPERIE,59250.0,HALLUIN,59,279,"44,09",2.0,
05/01/2022,162000.0,301.0,RTE,0060,D ARRAS,59155.0,FACHES-THUMESNIL,59,220,,3.0,
05/01/2022,156000.0,2.0,ALL,3414,DES FILEUSES,59260.0,LILLE,59,350,,2.0,
06/01/2022,1656000.0,3.0,RUE,0344,DES ARCHIVES,59800.0,LILLE,59,350,,1.0,137.0
06/01/2022,1656000.0,3.0,RUE,0344,DES ARCHIVES,59800.0,LILLE,59,350,,2.0,137.0
06/01/2022,1656000.0,3.0,RUE,0344,DES ARCHIVES,59800.0,LILLE,59,350,,2.0,137.0
06/01/2022,1656000.0,3.0,RUE,0344,DES ARCHIVES,59800.0,LILLE,59,350,,2.0,137.0
06/01/2022,1656000.0,3.0,RUE,0344,DES ARCHIVES,59800.0,LILLE,59,350,,2.0,137.0
06/01/2022,1656000.0,3.0,RUE,0344,DES ARCHIVES,59800.0,LILLE,59,350,,1.0,137.0
06/01/2022,1656000.0,3.0,RUE,0344,DES ARCHIVES,59800.0,LILLE,59,350,,1.0,137.0
05/01/2022,209000.0,2.0,RUE,0623,SIMONE VEIL,59320.0,SEQUEDIN,59,566,"65,04",3.0,
03/01/2022,188690.0,65.0,RUE,5893,DU MARCHE,59000.0,LILLE,59,350,"53,33",2.0,
12/01/2022,140000.0,16.0,RUE,5893,DU MARCHE,59000.0,LILLE,59,350,,2.0,
05/01/2022,258000.0,123.0,RUE,1460,JULES GUESDE,59150.0,WATTRELOS,59,650,,2.0,520.0
05/01/2022,258000.0,123.0,RUE,1460,JULES GUESDE,59150.0,WATTRELOS,59,650,,2.0,520.0
05/01/2022,258000.0,123.0,RUE,1460,JULES GUESDE,59150.0,WATTRELOS,59,650,,3.0,520.0
14/01/2022,148500.0,19.0,RUE,3200,DE LA CHEVALERIE,59650.0,VILLENEUVE-D'ASCQ,59,9,"50,46",2.0,
11/01/2022,116820.0,1.0,RUE,0372,JACQUES BECQ,59320.0,HALLENNES-LEZ-HAUBOURDIN,59,278,,2.0,
06/01/2022,161000.0,24.0,PL,0425,KENNEDY,59420.0,MOUVAUX,59,421,,4.0,
11/01/2022,115000.0,118.0,BD,5603,DE LA LIBERTE,59800.0,LILLE,59,350,"21,64",1.0,
10/01/2022,203262.0,21.0,RUE,2347,DELPHIN PETIT,59800.0,LILLE,59,350,"42,10",2.0,
11/01/2022,419000.0,30.0,BD,5603,DE LA LIBERTE,59800.0,LILLE,59,350,"82,89",3.0,
