date,capteur_id,visiteurs_count,weekday,moyenne_du_mois,threshold_twenty_pct
2023-08-01,porte_a,4200.0,3,4920.0,3936.0
2023-08-02,porte_a,5300.0,4,4920.0,3936.0
2023-08-03,porte_a,4400.0,5,4920.0,3936.0
2023-08-04,porte_a,5500.0,6,4920.0,3936.0
2023-08-05,porte_a,6000.0,7,4920.0,3936.0
2023-08-07,porte_a,4200.0,2,4920.0,3936.0
2023-08-08,porte_a,4700.0,3,4920.0,3936.0
2023-08-09,porte_a,5300.0,4,4920.0,3936.0
2023-08-10,porte_a,4400.0,5,4920.0,3936.0
2023-08-11,porte_a,5500.0,6,4920.0,3936.0
2023-08-12,porte_a,6000.0,7,4920.0,3936.0
2023-08-14,porte_a,3900.0,2,4920.0,3936.0
2023-08-15,porte_a,4200.0,3,4920.0,3936.0
2023-08-16,porte_a,4700.0,4,4920.0,3936.0
2023-08-17,porte_a,3600.0,5,4920.0,3936.0
2023-08-18,porte_a,5000.0,6,4920.0,3936.0
2023-08-19,porte_a,5500.0,7,4920.0,3936.0
2023-08-21,porte_a,4300.0,2,4920.0,3936.0
2023-08-22,porte_a,4900.0,3,4920.0,3936.0
2023-08-23,porte_a,5500.0,4,4920.0,3936.0
2023-08-24,porte_a,4700.0,5,4920.0,3936.0
2023-08-25,porte_a,5800.0,6,4920.0,3936.0
2023-08-26,porte_a,6000.0,7,4920.0,3936.0
2023-08-28,porte_a,4300.0,2,4920.0,3936.0
2023-08-29,porte_a,4750.0,3,4920.0,3936.0
2023-08-30,porte_a,5500.0,4,4920.0,3936.0
2023-08-31,porte_a,4700.0,5,4920.0,3936.0
2023-09-01,porte_a,5600.0,6,4700.0,3760.0
2023-09-02,porte_a,4000.0,7,4700.0,3760.0
2023-09-04,porte_a,4500.0,2,4700.0,3760.0
